,topic,user_email,start_time,end_time,duration,total_minutes,participants_count
34,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T09:22:38Z,2020-10-18T09:25:37Z,3,5,2
35,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-02T15:06:37Z,2020-08-02T19:00:33Z,234,4415,37
36,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-12T14:55:40Z,2020-07-12T19:38:33Z,283,5569,40
37,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-05T15:18:49Z,2020-07-05T15:19:34Z,1,2,3
38,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-08T16:08:54Z,2020-11-08T19:48:08Z,220,9599,82
39,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-07T16:15:15Z,2021-02-07T19:31:47Z,197,9112,82
40,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-27T16:22:49Z,2020-12-27T19:40:40Z,198,4842,51
41,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T15:10:00Z,2021-01-31T15:15:42Z,6,12,2
42,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-18T08:21:10Z,2020-10-18T08:26:54Z,6,11,2
43,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-09T15:20:27Z,2020-08-09T18:36:11Z,196,4664,41
44,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-15T16:16:21Z,2020-11-15T19:41:29Z,206,9338,87
45,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-17T16:12:57Z,2021-01-17T19:45:28Z,213,5312,65
46,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-03-21T16:25:23Z,2021-03-21T19:42:43Z,198,4060,38
47,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-11-22T16:11:52Z,2020-11-22T19:44:17Z,213,8492,67
48,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-11T15:19:14Z,2020-10-11T19:17:31Z,239,9652,85
49,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-28T15:28:33Z,2020-06-28T18:39:40Z,192,6553,58
50,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-03-07T16:20:47Z,2021-03-07T21:38:17Z,318,6099,57
51,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-26T15:29:53Z,2020-07-26T18:41:04Z,192,4743,40
52,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-11T07:47:05Z,2020-10-11T08:50:50Z,64,150,11
53,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-03-29T16:32:23Z,2020-03-29T19:24:54Z,173,4294,120
54,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-25T16:18:31Z,2020-10-25T19:35:02Z,197,6914,52
55,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-20T16:17:17Z,2020-12-20T19:32:21Z,196,6266,65
56,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-03T15:27:27Z,2020-05-03T20:27:25Z,300,6830,53
57,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-04-19T15:27:52Z,2020-04-19T19:10:54Z,224,8466,140
58,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-17T15:25:38Z,2020-05-17T18:43:56Z,199,12253,105
59,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-06-21T15:29:38Z,2020-06-21T19:22:53Z,234,7148,55
60,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-07T16:11:38Z,2021-02-07T16:12:37Z,1,3,3
61,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-12-13T16:23:14Z,2020-12-13T19:37:58Z,195,4612,48
62,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-02-21T16:13:28Z,2021-02-21T19:36:50Z,204,6541,69
63,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T15:41:03Z,2021-01-31T15:53:11Z,13,22,2
64,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-16T14:56:05Z,2020-08-16T18:31:36Z,216,3590,45
65,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T16:15:27Z,2021-01-31T16:24:00Z,9,53,11
66,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-08-23T15:16:44Z,2020-08-23T18:40:29Z,204,4251,37
67,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-05-10T15:18:08Z,2020-05-11T04:50:55Z,813,7232,47
68,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-10T16:13:01Z,2021-01-10T16:14:27Z,2,3,2
69,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-04-26T15:07:58Z,2020-04-27T09:23:24Z,1096,7579,48
70,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-10-08T07:42:00Z,2020-10-08T07:45:29Z,4,5,2
71,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2020-07-19T15:14:11Z,2020-07-19T19:07:31Z,234,4975,38
72,Check Point Sunday 18:30-21:30,branch10@she-codes.org,2021-01-31T12:04:39Z,2021-01-31T12:09:50Z,6,10,3
73,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-07-21T06:25:55Z,2020-07-21T10:02:26Z,217,8395,74
74,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-03-02T07:12:06Z,2021-03-02T10:30:32Z,199,8610,70
75,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-19T06:26:16Z,2020-05-19T09:28:08Z,182,2389,19
76,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-26T06:26:08Z,2020-05-26T09:30:42Z,185,2489,31
77,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-13T06:24:26Z,2020-10-13T09:59:12Z,215,7284,55
78,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-03-16T07:06:28Z,2021-03-16T10:35:54Z,210,6566,57
79,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-10T07:19:50Z,2020-11-10T10:46:28Z,207,12815,131
80,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-23T07:23:48Z,2021-02-23T10:43:39Z,200,8378,66
81,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-06-02T06:25:48Z,2020-06-02T09:29:49Z,185,2605,31
82,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-04-07T06:28:37Z,2020-04-07T09:34:14Z,186,2899,82
83,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-24T07:21:20Z,2020-11-24T10:40:51Z,200,10601,88
84,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-17T06:36:11Z,2020-11-17T10:57:39Z,262,14364,123
85,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-08-04T06:27:12Z,2020-08-04T09:38:00Z,191,6339,47
86,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-03-09T07:19:56Z,2021-03-09T10:38:20Z,199,6770,59
87,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-07-07T06:30:28Z,2020-07-07T09:43:59Z,194,3089,27
88,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-08T06:30:37Z,2020-09-08T10:35:01Z,245,6592,48
89,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-08-18T06:30:21Z,2020-08-18T09:45:24Z,196,5524,45
90,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-19T07:18:32Z,2021-01-19T10:37:40Z,200,6224,52
91,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-01T07:18:36Z,2020-12-01T11:08:40Z,231,10767,100
92,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-15T06:25:12Z,2020-09-15T10:04:36Z,220,8862,117
93,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-31T06:28:16Z,2020-03-31T09:35:03Z,187,3770,95
94,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-05T06:22:14Z,2020-05-05T09:36:59Z,195,2635,24
95,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-03T07:25:15Z,2020-11-03T10:58:20Z,214,7003,84
96,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-05T07:09:00Z,2021-01-05T10:55:45Z,227,7095,53
97,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-24T06:59:38Z,2020-03-24T10:36:40Z,218,4101,118
98,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-17T07:28:11Z,2020-03-17T10:53:52Z,206,903,13
99,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-04-21T06:25:35Z,2020-04-21T10:49:28Z,264,3087,67
100,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-12T06:23:24Z,2020-05-12T09:29:06Z,186,2342,19
101,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,01/01/1970 0:00,2020-07-28T09:33:22Z,184,7415,64
102,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-27T07:30:37Z,2020-10-27T10:52:24Z,202,6474,60
103,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-06-09T06:27:23Z,2020-06-09T09:31:46Z,185,2820,21
104,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-26T07:27:48Z,2021-01-26T10:53:47Z,206,5270,44
105,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-08-25T06:29:10Z,2020-08-25T09:58:18Z,210,4455,35
106,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-08T07:24:51Z,2020-12-08T10:47:25Z,203,10323,93
107,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-12T07:22:58Z,2021-01-12T10:33:20Z,191,8067,73
108,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-06-30T06:24:24Z,2020-06-30T09:29:13Z,185,2226,22
109,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-02T07:06:07Z,2021-02-02T10:42:29Z,217,11695,108
110,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-07-14T06:29:18Z,2020-07-14T09:56:32Z,208,2700,20
111,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-09T07:24:57Z,2021-02-09T10:41:50Z,197,10103,100
112,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-13T06:23:08Z,2020-10-13T06:23:41Z,1,1,3
113,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-16T07:19:31Z,2021-02-16T11:04:04Z,225,9070,71
114,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-01T06:28:52Z,2020-09-01T09:36:02Z,188,4667,45
115,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-22T06:30:33Z,2020-09-22T09:49:17Z,199,7607,67
116,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-29T06:12:30Z,2020-09-29T09:28:07Z,196,7927,79
117,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-29T07:24:18Z,2020-12-29T10:49:02Z,205,8944,67
118,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-22T07:15:16Z,2020-12-22T10:33:55Z,199,7970,63
119,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-04-06T06:18:52Z,2021-04-06T09:29:43Z,191,5241,52
120,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-24T10:41:27Z,2020-03-24T11:02:28Z,22,42,2
121,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-15T07:22:13Z,2020-12-15T10:50:00Z,208,8392,69
122,Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-20T06:28:43Z,2020-10-20T10:08:31Z,220,9104,120
123,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-27T14:59:38Z,2020-07-27T18:00:21Z,181,9428,83
124,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-17T14:55:31Z,2020-08-17T17:59:45Z,185,6779,66
125,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-15T15:56:46Z,2021-03-15T19:18:05Z,202,6401,74
126,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-09-14T14:56:24Z,2020-09-14T18:01:43Z,186,17526,170
127,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-01T15:24:26Z,2021-02-01T19:13:42Z,230,12599,108
128,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-21T15:36:23Z,2020-12-21T19:02:09Z,206,7148,60
129,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-04T16:06:40Z,2021-01-04T19:09:12Z,183,5665,44
130,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-26T15:55:16Z,2020-10-26T19:09:51Z,195,8402,72
131,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-18T15:08:34Z,2021-01-18T19:12:41Z,245,5389,51
132,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T13:10:10Z,2020-10-12T13:25:35Z,16,30,2
133,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-03-30T14:50:12Z,2020-03-30T18:00:41Z,191,13659,298
134,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-11T16:05:00Z,2021-01-11T19:05:42Z,181,6216,47
135,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-22T16:05:14Z,2021-02-22T19:36:35Z,212,10707,128
136,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-09T12:59:13Z,2020-11-09T13:53:00Z,54,104,5
137,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-30T14:04:11Z,2021-01-30T14:10:46Z,7,11,2
138,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-23T15:09:35Z,2020-11-23T15:17:11Z,8,13,3
139,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-09-07T14:57:25Z,2020-09-07T17:59:34Z,183,4860,37
140,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-15T14:58:25Z,2020-06-15T18:00:01Z,182,5986,56
141,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-28T15:28:42Z,2020-12-28T19:14:10Z,226,7233,57
142,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-11T14:58:45Z,2020-05-11T17:57:53Z,180,7594,65
143,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-07T15:51:04Z,2020-12-07T19:10:09Z,200,8879,78
144,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-23T15:55:27Z,2020-11-23T19:19:40Z,205,10502,87
145,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-19T14:58:00Z,2020-10-19T17:59:13Z,182,9483,92
146,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-09T16:36:33Z,2020-11-09T19:19:30Z,163,10656,134
147,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-08T11:43:14Z,2020-11-08T12:20:10Z,37,70,2
148,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-04-13T14:58:13Z,2020-04-13T17:59:23Z,182,9570,228
149,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-04-05T14:37:54Z,2021-04-05T18:02:00Z,205,5301,46
150,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-08T15:41:10Z,2021-03-08T19:08:41Z,208,9100,93
151,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-03T14:58:17Z,2020-08-03T17:59:08Z,181,7796,67
152,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-09T15:53:28Z,2020-11-09T16:31:20Z,38,2575,109
153,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-03-23T15:56:35Z,2020-03-23T19:00:25Z,184,14009,314
154,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T13:54:30Z,2020-10-12T13:55:36Z,2,2,2
155,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-10T14:57:50Z,2020-08-10T18:00:46Z,183,5645,48
156,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-01T15:52:33Z,2021-03-01T19:07:12Z,195,10357,116
157,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-09-21T14:55:38Z,2020-09-21T17:59:42Z,185,13649,107
158,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-13T14:58:21Z,2020-07-13T18:00:06Z,182,4480,37
159,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-07T12:35:32Z,2020-12-07T12:42:02Z,7,13,2
160,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-04T14:59:54Z,2020-05-04T17:57:04Z,178,9246,72
161,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-29T14:58:59Z,2020-06-29T17:59:05Z,181,4909,49
162,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-20T14:55:00Z,2020-07-20T18:00:18Z,186,11602,117
163,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-06T14:57:37Z,2020-07-06T18:07:03Z,190,4780,39
164,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-22T15:55:12Z,2021-03-22T19:33:30Z,219,5061,40
165,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-01T14:59:37Z,2020-06-01T17:59:34Z,180,9420,79
166,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-24T14:58:09Z,2020-08-24T17:59:54Z,182,5713,46
167,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-02T15:54:58Z,2020-11-02T19:13:48Z,199,8092,80
168,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-14T15:36:23Z,2020-12-14T19:09:46Z,214,5515,50
169,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-08T14:57:55Z,2020-06-08T17:57:49Z,180,7526,58
170,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-15T15:45:29Z,2021-02-15T19:10:56Z,206,15252,186
171,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-25T15:51:31Z,2021-01-25T18:57:45Z,187,3790,26
172,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-04-06T14:55:24Z,2020-04-06T17:58:31Z,184,12383,273
173,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-22T14:58:26Z,2020-06-22T17:58:02Z,180,5253,52
174,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-18T14:56:32Z,2020-05-18T18:00:17Z,184,12400,91
175,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-08T15:42:46Z,2021-02-08T19:20:09Z,218,11929,100
176,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-31T14:55:34Z,2020-08-31T17:58:35Z,184,5015,48
177,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-30T15:33:39Z,2020-11-30T19:11:40Z,219,8241,81
178,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T14:53:46Z,2020-10-12T18:42:51Z,230,12281,108
179,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-16T15:55:01Z,2020-11-16T19:34:12Z,220,12079,100
180,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-25T14:57:57Z,2020-05-25T17:59:40Z,182,11164,100
181,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T06:23:13Z,2020-10-12T06:43:16Z,21,40,2
182,Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-01T15:51:15Z,2021-03-01T15:52:24Z,2,2,2
183,New Seminar - קבוצה ג,branch10@she-codes.org,2020-11-19T08:51:27Z,2020-11-19T09:07:18Z,16,55,7
184,New Seminar - קבוצה ג,branch10@she-codes.org,2020-11-26T08:10:45Z,2020-11-26T11:11:56Z,182,736,10
185,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-12-16T15:24:40Z,2020-12-16T19:10:24Z,226,4969,36
186,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-30T14:57:14Z,2020-09-30T18:24:09Z,207,11438,93
187,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-03-31T14:48:32Z,2021-03-31T18:20:37Z,213,2052,14
188,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-03-10T15:37:02Z,2021-03-10T19:30:02Z,234,5293,62
189,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-11-25T15:39:30Z,2020-11-25T19:19:19Z,220,7975,59
190,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-08-19T14:54:24Z,2020-08-19T18:29:48Z,216,6160,66
191,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-12-09T15:44:28Z,2020-12-09T19:12:15Z,208,6028,46
192,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-02-17T15:39:33Z,2021-02-17T19:48:58Z,250,7917,71
193,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-02-10T16:02:08Z,2021-02-10T19:12:54Z,191,8078,73
194,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-02-24T15:38:00Z,2021-02-24T19:48:17Z,251,5081,55
195,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-07-01T14:56:37Z,2020-07-01T18:31:19Z,215,8434,67
196,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-07-08T14:12:16Z,2020-07-08T18:04:13Z,232,8178,79
197,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-07-15T14:40:41Z,2020-07-15T18:25:40Z,225,7521,76
198,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-16T14:33:05Z,2020-09-16T19:29:32Z,297,11277,100
199,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-23T14:41:37Z,2020-09-23T18:10:57Z,210,12493,92
200,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-05-20T14:39:12Z,2020-05-20T19:03:19Z,265,15284,142
201,IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-01-27T15:45:52Z,2021-01-27T19:53:19Z,248,4890,41
