topic,user_email,start_time,end_time,duration,participants_count
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-04-07T06:28:37Z,2020-04-07T09:34:14Z,186,82
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-24T07:21:20Z,2020-11-24T10:40:51Z,200,88
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-17T06:36:11Z,2020-11-17T10:57:39Z,262,123
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-08-04T06:27:12Z,2020-08-04T09:38:00Z,191,47
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-03-09T07:19:56Z,2021-03-09T10:38:20Z,199,59
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-07-07T06:30:28Z,2020-07-07T09:43:59Z,194,27
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-08T06:30:37Z,2020-09-08T10:35:01Z,245,48
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-08-18T06:30:21Z,2020-08-18T09:45:24Z,196,45
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-19T07:18:32Z,2021-01-19T10:37:40Z,200,52
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-01T07:18:36Z,2020-12-01T11:08:40Z,231,100
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-15T06:25:12Z,2020-09-15T10:04:36Z,220,117
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-31T06:28:16Z,2020-03-31T09:35:03Z,187,95
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-05T06:22:14Z,2020-05-05T09:36:59Z,195,24
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-11-03T07:25:15Z,2020-11-03T10:58:20Z,214,84
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-05T07:09:00Z,2021-01-05T10:55:45Z,227,53
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-24T06:59:38Z,2020-03-24T10:36:40Z,218,118
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-17T07:28:11Z,2020-03-17T10:53:52Z,206,13
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-04-21T06:25:35Z,2020-04-21T10:49:28Z,264,67
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-05-12T06:23:24Z,2020-05-12T09:29:06Z,186,19
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,01/01/1970 0:00,2020-07-28T09:33:22Z,184,64
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-27T07:30:37Z,2020-10-27T10:52:24Z,202,60
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-06-09T06:27:23Z,2020-06-09T09:31:46Z,185,21
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-26T07:27:48Z,2021-01-26T10:53:47Z,206,44
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-08-25T06:29:10Z,2020-08-25T09:58:18Z,210,35
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-08T07:24:51Z,2020-12-08T10:47:25Z,203,93
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-01-12T07:22:58Z,2021-01-12T10:33:20Z,191,73
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-06-30T06:24:24Z,2020-06-30T09:29:13Z,185,22
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-02T07:06:07Z,2021-02-02T10:42:29Z,217,108
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-07-14T06:29:18Z,2020-07-14T09:56:32Z,208,20
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-09T07:24:57Z,2021-02-09T10:41:50Z,197,100
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-13T06:23:08Z,2020-10-13T06:23:41Z,1,3
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-02-16T07:19:31Z,2021-02-16T11:04:04Z,225,71
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-01T06:28:52Z,2020-09-01T09:36:02Z,188,45
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-22T06:30:33Z,2020-09-22T09:49:17Z,199,67
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-09-29T06:12:30Z,2020-09-29T09:28:07Z,196,79
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-29T07:24:18Z,2020-12-29T10:49:02Z,205,67
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-22T07:15:16Z,2020-12-22T10:33:55Z,199,63
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2021-04-06T06:18:52Z,2021-04-06T09:29:43Z,191,52
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-03-24T10:41:27Z,2020-03-24T11:02:28Z,22,2
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-12-15T07:22:13Z,2020-12-15T10:50:00Z,208,69
Soluto Hackday Tuesday 09:30-12:30,branch10@she-codes.org,2020-10-20T06:28:43Z,2020-10-20T10:08:31Z,220,120
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-27T14:59:38Z,2020-07-27T18:00:21Z,181,83
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-17T14:55:31Z,2020-08-17T17:59:45Z,185,66
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-15T15:56:46Z,2021-03-15T19:18:05Z,202,74
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-09-14T14:56:24Z,2020-09-14T18:01:43Z,186,170
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-01T15:24:26Z,2021-02-01T19:13:42Z,230,108
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-21T15:36:23Z,2020-12-21T19:02:09Z,206,60
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-04T16:06:40Z,2021-01-04T19:09:12Z,183,44
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-26T15:55:16Z,2020-10-26T19:09:51Z,195,72
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-18T15:08:34Z,2021-01-18T19:12:41Z,245,51
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T13:10:10Z,2020-10-12T13:25:35Z,16,2
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-03-30T14:50:12Z,2020-03-30T18:00:41Z,191,298
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-11T16:05:00Z,2021-01-11T19:05:42Z,181,47
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-22T16:05:14Z,2021-02-22T19:36:35Z,212,128
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-09T12:59:13Z,2020-11-09T13:53:00Z,54,5
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-30T14:04:11Z,2021-01-30T14:10:46Z,7,2
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-23T15:09:35Z,2020-11-23T15:17:11Z,8,3
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-09-07T14:57:25Z,2020-09-07T17:59:34Z,183,37
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-15T14:58:25Z,2020-06-15T18:00:01Z,182,56
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-28T15:28:42Z,2020-12-28T19:14:10Z,226,57
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-11T14:58:45Z,2020-05-11T17:57:53Z,180,65
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-07T15:51:04Z,2020-12-07T19:10:09Z,200,78
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-23T15:55:27Z,2020-11-23T19:19:40Z,205,87
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-19T14:58:00Z,2020-10-19T17:59:13Z,182,92
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-09T16:36:33Z,2020-11-09T19:19:30Z,163,134
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-08T11:43:14Z,2020-11-08T12:20:10Z,37,2
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-04-13T14:58:13Z,2020-04-13T17:59:23Z,182,228
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-04-05T14:37:54Z,2021-04-05T18:02:00Z,205,46
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-08T15:41:10Z,2021-03-08T19:08:41Z,208,93
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-03T14:58:17Z,2020-08-03T17:59:08Z,181,67
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-09T15:53:28Z,2020-11-09T16:31:20Z,38,109
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-03-23T15:56:35Z,2020-03-23T19:00:25Z,184,314
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T13:54:30Z,2020-10-12T13:55:36Z,2,2
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-10T14:57:50Z,2020-08-10T18:00:46Z,183,48
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-01T15:52:33Z,2021-03-01T19:07:12Z,195,116
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-09-21T14:55:38Z,2020-09-21T17:59:42Z,185,107
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-13T14:58:21Z,2020-07-13T18:00:06Z,182,37
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-07T12:35:32Z,2020-12-07T12:42:02Z,7,2
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-04T14:59:54Z,2020-05-04T17:57:04Z,178,72
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-29T14:58:59Z,2020-06-29T17:59:05Z,181,49
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-20T14:55:00Z,2020-07-20T18:00:18Z,186,117
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-07-06T14:57:37Z,2020-07-06T18:07:03Z,190,39
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-22T15:55:12Z,2021-03-22T19:33:30Z,219,40
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-01T14:59:37Z,2020-06-01T17:59:34Z,180,79
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-24T14:58:09Z,2020-08-24T17:59:54Z,182,46
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-02T15:54:58Z,2020-11-02T19:13:48Z,199,80
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-12-14T15:36:23Z,2020-12-14T19:09:46Z,214,50
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-08T14:57:55Z,2020-06-08T17:57:49Z,180,58
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-15T15:45:29Z,2021-02-15T19:10:56Z,206,186
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-01-25T15:51:31Z,2021-01-25T18:57:45Z,187,26
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-04-06T14:55:24Z,2020-04-06T17:58:31Z,184,273
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-06-22T14:58:26Z,2020-06-22T17:58:02Z,180,52
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-18T14:56:32Z,2020-05-18T18:00:17Z,184,91
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-02-08T15:42:46Z,2021-02-08T19:20:09Z,218,100
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-08-31T14:55:34Z,2020-08-31T17:58:35Z,184,48
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-30T15:33:39Z,2020-11-30T19:11:40Z,219,81
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T14:53:46Z,2020-10-12T18:42:51Z,230,108
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-11-16T15:55:01Z,2020-11-16T19:34:12Z,220,100
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-05-25T14:57:57Z,2020-05-25T17:59:40Z,182,100
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2020-10-12T06:23:13Z,2020-10-12T06:43:16Z,21,2
Tel Aviv University Monday 18:00-21:00,branch10@she-codes.org,2021-03-01T15:51:15Z,2021-03-01T15:52:24Z,2,2
New Seminar - קבוצה ג,branch10@she-codes.org,2020-11-19T08:51:27Z,2020-11-19T09:07:18Z,16,7
New Seminar - קבוצה ג,branch10@she-codes.org,2020-11-26T08:10:45Z,2020-11-26T11:11:56Z,182,10
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-12-16T15:24:40Z,2020-12-16T19:10:24Z,226,36
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-30T14:57:14Z,2020-09-30T18:24:09Z,207,93
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-03-31T14:48:32Z,2021-03-31T18:20:37Z,213,14
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-03-10T15:37:02Z,2021-03-10T19:30:02Z,234,62
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-11-25T15:39:30Z,2020-11-25T19:19:19Z,220,59
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-08-19T14:54:24Z,2020-08-19T18:29:48Z,216,66
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-12-09T15:44:28Z,2020-12-09T19:12:15Z,208,46
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-02-17T15:39:33Z,2021-02-17T19:48:58Z,250,71
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-02-10T16:02:08Z,2021-02-10T19:12:54Z,191,73
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-02-24T15:38:00Z,2021-02-24T19:48:17Z,251,55
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-07-01T14:56:37Z,2020-07-01T18:31:19Z,215,67
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-07-08T14:12:16Z,2020-07-08T18:04:13Z,232,79
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-07-15T14:40:41Z,2020-07-15T18:25:40Z,225,76
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-16T14:33:05Z,2020-09-16T19:29:32Z,297,100
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-23T14:41:37Z,2020-09-23T18:10:57Z,210,92
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-05-20T14:39:12Z,2020-05-20T19:03:19Z,265,142
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-01-27T15:45:52Z,2021-01-27T19:53:19Z,248,41
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-03-24T15:33:58Z,2021-03-24T19:31:00Z,238,38
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-01-20T15:49:03Z,2021-01-20T19:28:44Z,220,41
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-08-12T14:42:12Z,2020-08-12T18:10:07Z,208,63
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-05-13T14:58:43Z,2020-05-13T18:29:38Z,211,66
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-08-05T14:47:42Z,2020-08-05T18:33:52Z,227,71
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-01-06T15:34:10Z,2021-01-06T19:22:48Z,229,31
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-06-17T14:43:53Z,2020-06-17T18:32:59Z,230,116
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-10-14T14:43:24Z,2020-10-14T18:12:47Z,210,66
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-05-27T14:29:56Z,2020-05-27T18:13:16Z,224,125
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-03-17T15:37:11Z,2021-03-17T19:03:06Z,206,39
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-10-28T15:51:09Z,2020-10-28T19:10:48Z,200,55
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-12-23T15:42:12Z,2020-12-23T19:23:36Z,222,48
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2021-01-13T15:43:21Z,2021-01-13T19:38:15Z,235,42
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-11-18T15:26:59Z,2020-11-18T20:01:32Z,275,73
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-09-09T14:40:57Z,2020-09-09T18:50:25Z,250,45
IBM Wednesday 18:00-21:00,branch10@she-codes.org,2020-12-30T15:35:40Z,2020-12-30T19:49:53Z,255,54
